Step,Device,Power(W)
89,device_ESS,-0.00
90,device_PV,-559.71
90,device_Load1,1879.73
90,device_Load2,2638.78
90,device_EV,0.00
90,device_ESS,-0.00
91,device_PV,-2578.51
91,device_Load1,1776.58
91,device_Load2,2622.47
91,device_EV,0.00
91,device_ESS,-0.00
92,device_PV,-1391.62
92,device_Load1,2004.71
92,device_Load2,2554.11
92,device_EV,0.00
92,device_ESS,-0.00
93,device_PV,-519.94
93,device_Load1,1748.37
93,device_Load2,2686.64
93,device_EV,0.00
93,device_ESS,-0.00
94,device_PV,-2273.78
94,device_Load1,1995.95
94,device_Load2,2614.19
94,device_EV,0.00
94,device_ESS,-0.00
95,device_PV,-1746.82
95,device_Load1,1923.26
95,device_Load2,2689.81
95,device_EV,0.00
95,device_ESS,-0.00
96,device_PV,-2365.53
96,device_Load1,1975.81
96,device_Load2,5617.98
96,device_EV,0.00
96,device_ESS,-0.00
97,device_PV,-1792.22
97,device_Load1,1918.03
97,device_Load2,5826.25
97,device_EV,0.00
97,device_ESS,-0.00
98,device_PV,-2324.70
98,device_Load1,1975.29
98,device_Load2,5736.61
98,device_EV,0.00
98,device_ESS,-0.00
99,device_PV,-2062.19
99,device_Load1,2176.50
99,device_Load2,5833.22
99,device_EV,0.00
99,device_ESS,-0.00
100,device_PV,-3942.09
100,device_Load1,1922.49
100,device_Load2,5538.99
100,device_EV,0.00
100,device_ESS,-0.00
101,device_PV,-3712.06
101,device_Load1,2023.83
101,device_Load2,5716.93
101,device_EV,0.00
101,device_ESS,-0.00
102,device_PV,-2941.06
102,device_Load1,2078.47
102,device_Load2,5566.77
102,device_EV,0.00
102,device_ESS,-0.00
103,device_PV,-1604.79
103,device_Load1,1929.99
103,device_Load2,5762.88
103,device_EV,0.00
103,device_ESS,-0.00
104,device_PV,-4410.95
104,device_Load1,2132.48
104,device_Load2,5596.88
104,device_EV,0.00
104,device_ESS,-0.00
105,device_PV,-2670.76
105,device_Load1,2113.83
105,device_Load2,5710.65
105,device_EV,0.00
105,device_ESS,-0.00
106,device_PV,-1911.59
106,device_Load1,2109.53
106,device_Load2,5575.67
106,device_EV,0.00
106,device_ESS,-0.00
107,device_PV,-3342.21
107,device_Load1,2089.03
107,device_Load2,5654.57
107,device_EV,0.00
107,device_ESS,-0.00
108,device_PV,-4178.98
108,device_Load1,2285.32
108,device_Load2,5870.59
108,device_EV,0.00
108,device_ESS,-0.00
109,device_PV,-5349.53
109,device_Load1,2203.61
109,device_Load2,5595.36
109,device_EV,0.00
109,device_ESS,-0.00
110,device_PV,-2971.28
110,device_Load1,2331.63
110,device_Load2,5819.49
110,device_EV,0.00
110,device_ESS,-0.00
111,device_PV,-5417.32
111,device_Load1,2312.43
111,device_Load2,5635.02
111,device_EV,0.00
111,device_ESS,-0.00
112,device_PV,-4310.41
112,device_Load1,2302.36
112,device_Load2,5813.56
112,device_EV,0.00
112,device_ESS,-0.00
113,device_PV,-5624.74
113,device_Load1,2088.15
113,device_Load2,5579.23
113,device_EV,0.00
113,device_ESS,-0.00
114,device_PV,-3213.50
114,device_Load1,2287.13
114,device_Load2,5566.48
114,device_EV,0.00
114,device_ESS,-0.00
115,device_PV,-4101.03
115,device_Load1,2266.99
115,device_Load2,5571.53
115,device_EV,0.00
115,device_ESS,-0.00
116,device_PV,-4956.21
116,device_Load1,2117.14
116,device_Load2,5530.67
116,device_EV,0.00
116,device_ESS,-0.00
117,device_PV,-3081.43
117,device_Load1,2147.37
117,device_Load2,5674.00
117,device_EV,0.00
117,device_ESS,-0.00
118,device_PV,-2910.43
118,device_Load1,2349.26
118,device_Load2,5544.93
118,device_EV,0.00
118,device_ESS,-0.00
119,device_PV,-5155.20
119,device_Load1,2276.01
119,device_Load2,5660.63
119,device_EV,0.00
119,device_ESS,-0.00
120,device_PV,-4053.35
120,device_Load1,2250.69
120,device_Load2,5539.11
120,device_EV,0.00
120,device_ESS,-0.00
121,device_PV,-4673.72
121,device_Load1,2403.94
121,device_Load2,5717.59
121,device_EV,0.00
121,device_ESS,-0.00
122,device_PV,-4094.76
122,device_Load1,2295.41
122,device_Load2,5641.46
122,device_EV,0.00
122,device_ESS,-0.00
123,device_PV,-5032.40
123,device_Load1,2395.58
123,device_Load2,5640.35
123,device_EV,0.00
123,device_ESS,-0.00
124,device_PV,-6668.52
124,device_Load1,2381.98
124,device_Load2,5834.63
124,device_EV,0.00
124,device_ESS,-0.00
125,device_PV,-4221.26
125,device_Load1,2199.45
125,device_Load2,5619.15
125,device_EV,0.00
125,device_ESS,-0.00
126,device_PV,-4192.07
126,device_Load1,2418.47
126,device_Load2,5631.25
126,device_EV,0.00
126,device_ESS,-0.00
127,device_PV,-6201.17
127,device_Load1,2223.47
127,device_Load2,5583.20
127,device_EV,0.00
127,device_ESS,-0.00
128,device_PV,-6527.88
128,device_Load1,2361.27
128,device_Load2,5829.97
128,device_EV,0.00
128,device_ESS,-0.00
129,device_PV,-4053.20
129,device_Load1,2454.03
129,device_Load2,5779.42
129,device_EV,0.00
129,device_ESS,-0.00
130,device_PV,-5758.96
130,device_Load1,2284.18
130,device_Load2,5841.14
130,device_EV,0.00
130,device_ESS,-0.00
131,device_PV,-6462.75
131,device_Load1,2239.46
131,device_Load2,5752.50
131,device_EV,0.00
131,device_ESS,-0.00
132,device_PV,-5724.49
132,device_Load1,2362.34
132,device_Load2,5626.51
132,device_EV,0.00
132,device_ESS,-0.00
133,device_PV,-4810.54
133,device_Load1,2398.69
133,device_Load2,5789.85
133,device_EV,0.00
133,device_ESS,-0.00
134,device_PV,-5354.15
134,device_Load1,2343.62
134,device_Load2,5531.67
134,device_EV,0.00
134,device_ESS,-0.00
135,device_PV,-4350.89
135,device_Load1,2375.64
135,device_Load2,5540.07
135,device_EV,0.00
135,device_ESS,-0.00
136,device_PV,-5412.90
136,device_Load1,2567.71
136,device_Load2,5635.33
136,device_EV,0.00
136,device_ESS,-0.00
137,device_PV,-4820.48
137,device_Load1,2367.89
137,device_Load2,5735.63
137,device_EV,0.00
137,device_ESS,-0.00
138,device_PV,-5984.74
138,device_Load1,2569.17
138,device_Load2,5541.17
138,device_EV,0.00
138,device_ESS,-0.00
139,device_PV,-7133.33
139,device_Load1,2551.94
139,device_Load2,5652.50
139,device_EV,0.00
139,device_ESS,-0.00
140,device_PV,-6068.89
140,device_Load1,2542.89
140,device_Load2,5567.82
140,device_EV,0.00
140,device_ESS,-0.00
141,device_PV,-6350.70
141,device_Load1,2465.67
141,device_Load2,5854.84
141,device_EV,0.00
141,device_ESS,-0.00
142,device_PV,-5172.40
142,device_Load1,2472.47
142,device_Load2,5595.04
142,device_EV,0.00
142,device_ESS,-0.00
143,device_PV,-5039.58
143,device_Load1,2516.85
143,device_Load2,5807.24
143,device_EV,0.00
143,device_ESS,-0.00
144,device_PV,-5074.10
144,device_Load1,2499.87
144,device_Load2,5810.63
144,device_EV,0.00
144,device_ESS,-0.00
145,device_PV,-7213.68
145,device_Load1,2449.13
145,device_Load2,5581.94
145,device_EV,0.00
145,device_ESS,-0.00
146,device_PV,-5813.11
146,device_Load1,2544.60
146,device_Load2,5873.02
146,device_EV,0.00
146,device_ESS,-0.00
147,device_PV,-5580.07
147,device_Load1,2344.63
147,device_Load2,5856.53
147,device_EV,0.00
147,device_ESS,-0.00
148,device_PV,-7424.92
148,device_Load1,2366.58
148,device_Load2,5806.25
148,device_EV,0.00
148,device_ESS,-0.00
149,device_PV,-7347.21
149,device_Load1,2591.73
149,device_Load2,5632.17
149,device_EV,0.00
149,device_ESS,-0.00
150,device_PV,-6022.73
150,device_Load1,2369.47
150,device_Load2,5882.79
150,device_EV,0.00
150,device_ESS,-0.00
151,device_PV,-5749.15
151,device_Load1,2501.56
151,device_Load2,5713.48
151,device_EV,0.00
151,device_ESS,-0.00
152,device_PV,-5156.39
152,device_Load1,2469.31
152,device_Load2,5875.19
152,device_EV,0.00
152,device_ESS,-0.00
153,device_PV,-6570.16
153,device_Load1,2305.43
153,device_Load2,5725.19
153,device_EV,0.00
153,device_ESS,-0.00
154,device_PV,-6379.67
154,device_Load1,2374.99
154,device_Load2,5531.79
154,device_EV,0.00
154,device_ESS,-0.00
155,device_PV,-6278.48
155,device_Load1,2505.32
155,device_Load2,5523.88
155,device_EV,0.00
155,device_ESS,-0.00
156,device_PV,-7219.87
156,device_Load1,2284.91
156,device_Load2,5779.63
156,device_EV,0.00
156,device_ESS,-0.00
157,device_PV,-5302.80
157,device_Load1,2365.13
157,device_Load2,5872.13
157,device_EV,0.00
157,device_ESS,-0.00
158,device_PV,-6739.00
158,device_Load1,2435.23
158,device_Load2,5765.56
158,device_EV,0.00
158,device_ESS,-0.00
159,device_PV,-5603.99
159,device_Load1,2451.70
159,device_Load2,5657.51
159,device_EV,0.00
159,device_ESS,-0.00
160,device_PV,-5833.67
160,device_Load1,2415.29
160,device_Load2,5530.28
160,device_EV,0.00
160,device_ESS,-0.00
161,device_PV,-5866.41
161,device_Load1,2481.17
161,device_Load2,5809.04
161,device_EV,0.00
161,device_ESS,-0.00
162,device_PV,-6487.35
162,device_Load1,2303.45
162,device_Load2,5624.25
162,device_EV,0.00
162,device_ESS,-0.00
163,device_PV,-6098.19
163,device_Load1,2376.74
163,device_Load2,5607.26
163,device_EV,0.00
163,device_ESS,-0.00
164,device_PV,-5509.87
164,device_Load1,2396.77
164,device_Load2,5569.09
164,device_EV,0.00
164,device_ESS,-0.00
165,device_PV,-6461.85
165,device_Load1,2279.66
165,device_Load2,5818.41
165,device_EV,0.00
165,device_ESS,-0.00
166,device_PV,-5601.73
166,device_Load1,2421.41
166,device_Load2,5689.48
166,device_EV,0.00
166,device_ESS,-0.00
167,device_PV,-7003.03
167,device_Load1,2331.05
167,device_Load2,5722.08
167,device_EV,0.00
167,device_ESS,-0.00
168,device_PV,-5493.31
168,device_Load1,2210.95
168,device_Load2,5552.17
168,device_EV,0.00
168,device_ESS,-0.00
169,device_PV,-5156.65
169,device_Load1,2291.52
169,device_Load2,5834.59
169,device_EV,0.00
169,device_ESS,-0.00
170,device_PV,-6052.34
170,device_Load1,2368.06
170,device_Load2,5871.64
170,device_EV,0.00
170,device_ESS,-0.00
171,device_PV,-5402.60
171,device_Load1,2222.62
171,device_Load2,5507.69
171,device_EV,0.00
171,device_ESS,-0.00
172,device_PV,-5774.69
172,device_Load1,2360.73
172,device_Load2,5888.94
172,device_EV,0.00
172,device_ESS,-0.00
173,device_PV,-5820.71
173,device_Load1,2450.26
173,device_Load2,5529.03
173,device_EV,0.00
173,device_ESS,-0.00
174,device_PV,-4713.82
174,device_Load1,2254.60
174,device_Load2,5673.24
174,device_EV,0.00
174,device_ESS,-0.00
175,device_PV,-5061.67
175,device_Load1,2435.56
175,device_Load2,5565.83
175,device_EV,0.00
175,device_ESS,-0.00
176,device_PV,-5502.10
176,device_Load1,2384.45
176,device_Load2,5752.94
176,device_EV,0.00
176,device_ESS,-0.00
177,device_PV,-5265.90
177,device_Load1,2477.35
177,device_Load2,5872.49
177,device_EV,0.00
177,device_ESS,-0.00
178,device_PV,-4871.78
178,device_Load1,2452.07
178,device_Load2,5611.08
178,device_EV,0.00
178,device_ESS,-0.00
179,device_PV,-4940.13
179,device_Load1,2469.60
179,device_Load2,5793.45
179,device_EV,0.00
179,device_ESS,-0.00
180,device_PV,-2760.70
180,device_Load1,2111.16
180,device_Load2,5563.04
180,device_EV,0.00
180,device_ESS,-0.00
181,device_PV,-5631.49
181,device_Load1,2087.18
181,device_Load2,5667.91
181,device_EV,0.00
181,device_ESS,-0.00
182,device_PV,-4935.61
182,device_Load1,2226.81
182,device_Load2,5569.31
182,device_EV,0.00
182,device_ESS,-0.00
183,device_PV,-2875.47
183,device_Load1,2275.70
183,device_Load2,5707.24
183,device_EV,0.00
183,device_ESS,-0.00
184,device_PV,-5205.84
184,device_Load1,2323.89
184,device_Load2,5656.46
184,device_EV,0.00
184,device_ESS,-0.00
185,device_PV,-5172.17
185,device_Load1,2131.43
185,device_Load2,5725.38
185,device_EV,0.00
185,device_ESS,-0.00
186,device_PV,-5014.38
186,device_Load1,2119.64
186,device_Load2,5843.98
186,device_EV,0.00
186,device_ESS,-0.00
187,device_PV,-5682.04
187,device_Load1,2152.73
187,device_Load2,5542.82
187,device_EV,0.00
187,device_ESS,-0.00
188,device_PV,-5143.65
188,device_Load1,2133.36
188,device_Load2,5707.19
188,device_EV,0.00
188,device_ESS,-0.00
